sample,Voc (V),Jsc (mA/cm2),Vmax,Jmax,Voc*Jsc,Vmax*Jmax,FF(%),PCE (%),surface
2-L-D.txt,-0.5,0.003,0.52,0.009,-0.002,0.005,-312.0,0.005,0.27
1-R-S.txt,0.877,17.989,0.6,12.061,15.776,7.237,45.87,7.237,0.27
