sample,Voc (V),Jsc (mA/cm2),Vmax,Jmax,Voc*Jsc,Vmax*Jmax,FF(%),PCE (%),surface
1-R-S.txt,0.877,17.989,0.6,12.061,15.776,7.237,45.87,7.237,0.27
1-M-S.txt,0.842,16.466,0.56,10.549,13.864,5.907,42.609,5.907,0.27
